threshold,precision,recall,f1
0.21788247,0.32787768474699674,0.78286234806553,0.462183925268942
0.21788204,0.32787672988211175,0.78286234806553,0.4621829765921985
0.21788202,0.32787577502278836,0.78286234806553,0.46218202791934954
0.21796608,0.3279115974455787,0.7826537423858927,0.46218125076992567
0.21788146,0.3278748201690265,0.78286234806553,0.46218107925039503
0.21788312,0.3278757273410334,0.7828553945428754,0.4621807687413021
0.21787474,0.3278720510677457,0.7828762551108391,0.46218075160252786
0.21788657,0.327876634534176,0.7828484410202209,0.46218045822711024
0.21796587,0.3279106421286005,0.7826537423858927,0.4621803018513081
0.21788962,0.327877541748455,0.7828414874975662,0.46218014770781934
0.21788043,0.32787386532082624,0.78286234806553,0.46218013058533514
0.2178747,0.3278710962526355,0.7828762551108391,0.46217980295566496
0.2178856,0.3278756796584452,0.7828484410202209,0.462179509547747
0.21796586,0.32790968681718863,0.7826537423858927,0.46217935293658713
0.21749885,0.32770505004695083,0.7838219341918616,0.4621793439376452
0.2174873,0.3277013866682171,0.7838427947598253,0.46217932685802837
0.21776783,0.3278242367262111,0.7831404889717131,0.462179270156864
0.21789569,0.32788026351811833,0.7828206269296025,0.46217921611935153
0.21788932,0.3278765868589585,0.7828414874975662,0.4621791990213042
0.2178803,0.32787291047818745,0.78286234806553,0.46217918192416946
0.21750198,0.3277059536649679,0.7838149806692071,0.4621790337956272
0.21787414,0.3278701414430864,0.7828762551108391,0.46217885431269645
0.21796149,0.3279078236296631,0.7826606959085473,0.4621787146326891
0.21748422,0.3276995305164319,0.7838497482824799,0.4621786895227005
0.21775655,0.32781870413975567,0.7831683030623314,0.4621786151753344
0.21789289,0.3278784013233962,0.7828275804522571,0.4621785779531211
0.21788432,0.3278747247882763,0.7828484410202209,0.46217856087227815
0.21787736,0.32787104853153165,0.7828693015881846,0.4621785437923468
0.21796444,0.32790873151134303,0.7826537423858927,0.4621784040257626
0.2174987,0.3277040973550634,0.7838219341918616,0.4621783964410914
0.2174865,0.32770043402298316,0.7838427947598253,0.46217837938676065
0.21776696,0.32782328251162846,0.7831404889717131,0.462178321836156
0.21789393,0.32787930858732217,0.7828206269296025,0.46217826741138046
0.21788795,0.3278756319750239,0.7828414874975662,0.4621782503386838
0.21788009,0.32787195564111005,0.78286234806553,0.4621782332668983
0.21796836,0.3279096394141828,0.7826467888632381,0.4621780934137342
0.21750164,0.3277050009593748,0.7838149806692071,0.4621780862919395
0.21795686,0.32790596049641674,0.7826676494312018,0.462178076341896
0.21749167,0.327701337550547,0.7838358412371708,0.4621780692457344
0.21796936,0.32791054733818314,0.7826398353405836,0.46217778279660404
0.21796086,0.3279068683431608,0.7826606959085473,0.4621777657329161
0.21748379,0.3276985778904406,0.7838497482824799,0.4621777420624509
0.21776289,0.32782142223024285,0.7831474424943676,0.4621776839409813
0.2177565,0.3278177499912682,0.7831683030623314,0.4621776668909935
0.2177507,0.32781407803018175,0.7831891636302951,0.46217764984191534
0.21789227,0.3278774464119292,0.7828275804522571,0.462177629256197
0.21788396,0.327873769923669,0.7828484410202209,0.4621776122007041
0.21787485,0.32787009371377984,0.7828693015881846,0.4621775951461213
0.21786927,0.32786641778223,0.7828901621561483,0.46217757809244864
0.21796435,0.3279077762110636,0.7826537423858927,0.4621774551188345
