threshold,precision,recall,f1
0.21283494,0.3365445006834891,0.7600965148944455,0.4665269645082541
0.21283402,0.3365434645402626,0.7600965148944455,0.4665259689682619
0.21283598,0.33654453034319476,0.760089561371791,0.4665256832396882
0.21283343,0.3365424284034162,0.7600965148944455,0.46652497343251864
0.21283588,0.3365434941903067,0.760089561371791,0.4665246876960568
0.2128386,0.3365456258428419,0.7600756543264818,0.4665241162084992
0.21283272,0.33654139227294977,0.7600965148944455,0.46652397790102407
0.21283525,0.33654245804379884,0.760089561371791,0.46652369215667444
0.21283652,0.33654352384089853,0.7600826078491364,0.46652340640744666
0.21285734,0.33655412375101995,0.7600269796678998,0.466523111463004
0.21283236,0.33654035614886335,0.7600965148944455,0.46652298237377837
0.21283624,0.33654248768472905,0.7600826078491364,0.4665224108644252
0.21285723,0.3365530874537359,0.7600269796678998,0.46652211584837533
0.2128323,0.3365393200311568,0.7600965148944455,0.4665219868507814
0.21283823,0.3365425173262068,0.7600756543264818,0.4665211295557704
0.21285705,0.33655205116283365,0.7600269796678998,0.4665211202379961
0.21283183,0.33653828391983004,0.7600965148944455,0.46652099133203306
0.21283978,0.3365435831437254,0.7600687008038273,0.4665208437810096
0.21283789,0.336541481166756,0.7600756543264818,0.4665201340133587
0.2128564,0.3365510148783131,0.7600269796678998,0.4665201246318665
0.21283074,0.3365372478148831,0.7600965148944455,0.4665199958175335
0.21285811,0.3365520808956658,0.7600200261452452,0.46651983883084075
0.2128557,0.33654997860017427,0.7600269796678998,0.4665191290299863
0.21283062,0.3365362117163159,0.7600965148944455,0.4665190003072826
0.212826,0.3365330443536594,0.7601104219397546,0.46651857636999533
0.2128518,0.3365478763694138,0.7600339331905543,0.4665184192442796
0.21285559,0.33654894232841703,0.7600269796678998,0.4665181334323555
0.21283044,0.3365351756241283,0.7600965148944455,0.4665180048012803
0.21291032,0.3365828566852398,0.7598531416015354,0.46651795720155825
0.21294336,0.3366072473859008,0.7597279781937529,0.46651779042609065
0.21282488,0.3365320082999304,0.7601104219397546,0.46651758088401607
0.21284026,0.33654154043203033,0.7600617472811726,0.4665175713395532
0.2129197,0.3365892275183125,0.7598183739882625,0.466517523598902
0.21285161,0.3365468401200831,0.7600339331905543,0.4665174236587869
0.21282881,0.33653307390600273,0.7601034684171001,0.4665172950942108
0.21285333,0.33654790606304136,0.7600269796678998,0.466517137838974
0.21283038,0.3365341395383204,0.7600965148944455,0.4665170092995267
0.21284588,0.336543672102074,0.7600478402358635,0.4665169997183074
0.21291023,0.3365818199738807,0.7598531416015354,0.46651696138115933
0.21291748,0.3365871238606856,0.759825327510917,0.46651681363790637
0.21294332,0.33660621035346455,0.7597279781937529,0.466516794442345
0.21282463,0.33653097225258066,0.7601104219397546,0.4665165854022854
0.21285821,0.336550038027731,0.7600130726225907,0.466516566184709
0.21291941,0.33658819072026813,0.7598183739882625,0.46651652773478774
0.21294521,0.33660727764547127,0.7597210246710984,0.4665165085024391
0.2128512,0.3365458038771338,0.7600339331905543,0.4665164280775436
0.21282758,0.3365320378426139,0.7601034684171001,0.4665162996045929
0.21285911,0.33655110404946437,0.760006119099936,0.46651628035025644
0.21282008,0.33652780514235053,0.7601243289850639,0.4665161615213254
0.21285194,0.33654686980404713,0.7600269796678998,0.46651614224984217
