risk_decile,flights,observed_rate,mean_predicted_risk
1,55973,0.09011487681560752,0.10345947
2,55973,0.1069622853875976,0.1287285
3,55972,0.1256342456942757,0.14913721
4,55973,0.14012112983045397,0.1682225
5,55973,0.15344898433173138,0.18673135
6,55972,0.17378332023154433,0.2044808
7,55973,0.19461168777803584,0.22202927
8,55972,0.21062316872722076,0.24286628
9,55973,0.23743590659782396,0.27031907
10,55973,0.3303021099458668,0.323124
