model,mean_fit_sec,mean_val_roc_auc,mean_val_pr_auc,best_f1_threshold,oof_precision_at_best_f1,oof_recall_at_best_f1,oof_f1_at_best_f1,oof_roc_auc,oof_pr_auc
RandomForest,25.340000000000003,0.642,0.4021333333333333,0.2554,0.3541,0.7246,0.4757,0.6578,0.421
HistGB,21.493333333333336,0.6340333333333333,0.39209999999999995,0.2128,0.3365,0.7601,0.4665,0.6405,0.4005
LogisticRegression,11.326666666666668,0.6267,0.3839333333333334,0.2179,0.3279,0.7829,0.4622,0.629,0.3805
DummyPrior,0.01,0.5,0.27709999999999996,0.2419,0.2774,1.0,0.4344,0.4502,0.2564
